"标题和要求
","范文
","","分析
","考试类型","附件"
"abcd
","aaaa
","","","自建短文写作",""
"1. 很多人认为有必要举行口语考试，理由是
2. 也有人持反对意见
3. 我的看法及原因
","A test of spoken English will be included as an optional (component of the College English Test (CET). Some people contend that it is absolutely necessary to hold a test of spoken English in China because we have been told many times that a Chinese student who has been learning English for years cannot communicate with a native English speaker. Sometimes even those top students who excel at grammar and writing skills find their English inadequate to express their thoughts freely when speaking. A test of spoken English will bring the importance of speaking English to the awareness of the college students, and thus help them with their communicating skills.

On the other hand, there are also people who maintain that good reading and writing skills would be enough for the average English learners. College students are already under considerable pressure from their coursework. Another required test will only add to their burden. Also, some students may take the shortcut and only practice the questions according to the fixed format of the test, which will not actually improve their spoken English.

I believe that a test of spoken English will do more good than harm. Since China will continue its policy of openingand reform, the ability to speak fluent English is a must for anyone who wants to surpass others in a highly competitive society. Whether I take the test or not, I shall make all efforts to practice my spoken English in the rest years in college.
","","","自建短文写作",""
"@@Should Career Planning Be Done Early?@@

1. 通常，在大学中学习的专业决定了将来从事的工作

2. 有些学生入大学前就有了职业规划

3. 有些学生入大学后寻找就业方向

4. 我的观点
","Should Career Planning Be Done Early?

What we learn as our major at college determines what kind of job we are to take after graduation to a great extent.

Some students, before entering the college, start to think about their job prospects. They are strong-minded and purposeful. They have a thorough knowledge about themselves: they know the relative strengths and weaknesses of their personality; they know their interests and specialties. With a right choice of a satisfactory major, they are making steady progress to their potential career at college.

Some students, however, are not as decisive as the above ones. They are confused about their future jobs. Blindly, they choose their major, but quickly lose the interest in pursuing it or find it unsuitable for themselves. They spend the whole college period doing nothing but complaining and regretting.

In my opinion, it is essential for students to make a right choice of major before they start their college study. Both schools and parents have to take the responsibility of cultivating youngsters’ sense of career planning and sense of independence. Only in this way, can college life be a happy and beneficial experience for more students.
","","此作文是一篇讨论大学生职业规划的议论文。根据提纲，考生首先需要交待进行职业规划的背景，其次对比对待职业规划的不同态度，最后通过对比的结果得出大学生应该尽早进行职业规划的结论，属于观点对比题。范文首先指出大学生在校所学专业在很大程度上决定其职业的方向。第二段分析提早进行职业规划的好处：一些学生在入学前就开始思考自己的职业问题，他们对自身的性格、特长、兴趣更为了解，因而能够选择合适的专业，在择业的时候能够更有针对性；第三段则讨论反面的例子：另外一些学生对自己的职业毫无规划，对所学专业没有兴趣，虚度了大学时光。最后，作者总结大学生在入学前有必要选择好自己的专业。而学校和家长也应引导学生培养职业规划的意识和独立意识。只有这样，大学生活才能有意义。
","自建短文写作",""
"1. Write a short summary of the news item, which should include: ? Teenager smoking in China ? The role of government in keeping teenagers from smoking 2. Give your comments on the theme of Tobacco-Free Youth.
","","","China's production and consumption of cigarettes have ranked first in the world. One of every three cigarettes manufactured in the world is consumed in China. Three of every five Chinese smokers begin smoking at the age of 15–20 years. Teenage smoking is increasingly becoming a problem in modern China. At least 50 million of the children now living in China will be killed by smoking. Therefore China's top priority in control of smoking is to educate the youth against smoking so as to prevent them from starting and reduce the overall number of new smokers. Adults smoke; children follow. Thus a major feature of China's smoking control efforts has been the mobilization of primary school children to advise their parents to stop smoking. The goal of the Chinese Association on Smoking and Health is to achieve a male (age 15+) smoking rate below 58% and a female (age 15+) smoking rate below 5% by the year 2000. Although the number of smoke-free schools is on the increase and many more teenagers are quitting, China still has a long way to go. f1 Reprint requests and correspondence should be addressed to Tsung O. Cheng, M.D., The George Washington University Medical Center, 2150 Pennsylvania Avenue, N.W., Washington, D.C. 20037, U.S.A.
","视听写作（四级网考）",""
"1. Write a short summary of the video clip, which should include:

* Government's solutions to protect the Nature Reserve in Caohai

* The corresponding influences on both the environment and residents' life there

2. Give your suggestion on how to protect the environment and develop economy at the same time to achieve sustainable development.
","Caohai Nature Reserve, a wetland in Guizhou province, is home to more than 400 wild species. In these years, to protect the environment, the local government here has taken strict actions. They closed many small factoriesand set limits on fishingso asto expand the size of the wetland.

These polices have already resulted in desirable effects. More and more birds are coming here for winter because of the improved environment, including some rare ones.

However, due to these actions, residents there get less income, and their houses will be submerged after the expansion of the Caohai Lake. They are going to live a poor life if further solutions can't be made.

So how can we protect the environment successfully and develop our economy at the same time? The answer is sustainable development. Before we take actions to protect the environment, detailed plans should be set on how to improve people's life there. Only by alleviating poverty there firstly can our dream of environmental protection be achieved.
","","","视听写作（四级网考）","/resourcefile/200910/video/Flv-2009000001[9].flv"
"1. Write a short summary of the news item, which should include:

* Problemsfaced bymigrant workers

* The reasons for the problems

2. Give your suggestions about protection ofthe interests of migrant workers.
","The news item is mainly about a migrant worker, called Pu Zibing, who has suffered from black lung for years due to the awful working conditions. From the news item we can learn that there exist some serious problems in this large workforce group, such as severe working environment, ignorance of the workers' health,non-payments, etc. Meanwhile, the news also makes ankeen revelation of the fact that some local governments usually put enterprises' interests over themigrant workers'.

The news item tries to warn us that some measures should be taken immediately to protect migrant workers' interests and rights. In my opinion, there are two effective solutions to the problems. One is that our government should perfect some relevant laws as soon as possible, and punish enterprises' illegal acts; the other, more importantly, is that migrant workers should actively learn to have law awareness so that they can protect their rights.

In conclusion, our society, as a whole, should take the responsibility for improving the well-being of migrant workers and ensure their interests and rights.
","","","视听写作（四级网考）","/resourcefile/200910/societyhot/audio/Mp3-2009000001[2].mp3"
"1. Write a short summary of the news item, which should include:

* the increase in the number of students
* the reasons for the increase

2. Give your suggestions on what college students should do to prepare for their career after graduation.
","As is reported, there has been an increase in the number of students who register in schools in the new semester. Even if they go to or return to school for different reasons, the rise is mainly due to the economic depression, which may teach us, college students now, a lot for our future development.

To my way of thinking, in this falling economy, it is advisable for us to start earlier to better prepare ourselves for our future career, rather than wait until right before the graduation. First of all, we need to prepare theoretically, which means, we need to master as much professional knowledge and information as possible. Secondly, as we all know, the society favors people with work experiences.It is therefore important to get some opportunities to have more social practices, like part-time jobs or work in student associations. But most of all, we need to think clearly what we want to do in the future and set ourselves a goal and strive for it.
","","","视听写作（四级网考）","/resourcefile/200910/education/audio/Mp3-2009000001[0].mp3"
"1. Write a short summary of the video, which should include:

* US students as volunteers for Beijing Olympics
* The benefits of the experience
","Beijing Olympic Games has drawn a lot of people to flood in China. Among those, 60 students from Missouri will go to Beijing as volunteers, especially students of the Journalism School. They have been anticipating. These students will spend two months in Beijing, helping collect quotes of athletes and coaches, and write press conference headlines.

It's an opportunitywhich willenable students toget involved in this important event and give them the experience to gain new perspectives on different cultures of the world. Moreover, they can work with media from different parts of the world. They are going to learn a lot aboutthe Chineselanguage andthe country with sucha proud history—China. It is a significant opportunity for the students to gain insight into Chinese culture.
","","60 students from Missouri will go to Beijing as volunteers,especially students of the Journalism School. They have been anticipating. These students will spend two months in Beijing, helping collect polls of athletes and coaches, and write press conference headlines.It's an opportunity to enable students to be involved in the most important event , and also give them the experience to gain new perspectives on different cultures of the world, and they can also work with media from different parts of the world. They are going to learn a lot about language and country with the proud history.
","视听写作（四级网考）","/resourcefile/200910/video/Flv-2009000001[11].flv"
"How to improve psychological health of college students?

1. Write a short summary of the video and include the following in your summary:

*

The connection between dreams and one's thoughts;

*

Examples of interpretation of dreams;

2. Give your suggestions as to how to keep a healthy lifestyle psychologically.
","The video illustrates the relations between dreams and real life activities. No matter what kind of dream we have during the night, experts are confident to tell us that there will be some explanations which are closely related to what we do during the day. For example, a woman named Lisa has a dream which might be triggered by her moving to another city or changing a job. Several other people have certain dreams which may be explained by the fact that they are experiencing important life events, such as marriage or the loss of family members. In all these cases, the experts are sure that dreams can actually act as a guide for us to release the pressure deep in our mind.

Perhaps dreaming is indeed a way of relieving pressure. At the same time, we have seen several shocking news about college students committing suicide because they are under great pressure from study or from interpersonal relationships. In addition, more students are complaining about the stress they have to cope with while they are still in college, not to mention in society after they step out of colleges. In order to prevent more tragedies, the psychological health of college students should be the priority of administrators and educators in colleges. As for students themselves, there are also methods to make them stronger psychologically. They can join some societies to meet more people, seek advice from the school teachersor tutors, and develop more hobbies to enrich their college life, to name but a few. Everyone tends to agree that college students today will be the major labor force of the future, and in order to secure a happy life and a harmonious society, all of us should pay great attention to the psychological health of college students.
","","","视听写作（四级网考）","/resourcefile/200910/video/Flv-2009000001[14].flv"
"as long as you love me who you are where you're from as long as you love me what you did as long as you love me
","as long as you love me who you are where you're from as long as you love me what you did as long as you love me
","","as long as you love me who you are where you're from as long as you love me what you did as long as you love me
","视听写作（四级网考）",""
